Item	Category	Sources
Deepgold Cinquedeas	Loot	White Oak Weapon Coffer (IL 385)
Susano's Kunai	Loot	Susano Weapon Coffer (IL 320)
Susano's Kunai	Instance	The Pool of Tribute (Extreme)
Kards	Instance	Castrum Abania
Forgiven Hate	Instance	Mt. Gulg
Suzaku's Kunai	Loot	Suzaku Weapon Coffer (IL 385)
Suzaku's Kunai	Instance	Hells' Kier (Extreme)
Wind-up Weapon	Instance	The Ghimlyt Dark
Tsukuyomi's Kunai	Loot	Tsukuyomi Weapon Coffer (IL 365)
Tsukuyomi's Kunai	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Diamond Daggers	Loot	Diamond Weapon Coffer (IL 375)
Diamond Daggers	Instance	Sigmascape V4.0 (Savage)
Clionid Larva	Instance	Akadaemia Anyder
Zelkova Log	Drop	bcc03ffa814
Beech Log	Drop	cb05d4fe4c9
Black Hayate	Instance	Holminster Switch
Bonewicca Necklace of Slaying	Instance	The Swallow's Compass
Farlander Choker of Aiming	Instance	Hells' Lid	The Fractal Continuum (Hard)
Genji Necklace of Aiming	Loot	Genji Necklace Coffer (IL 340)
Bonewicca Necklace of Aiming	Instance	The Swallow's Compass
Farlander Choker of Fending	Instance	Hells' Lid	The Fractal Continuum (Hard)
Genji Necklace of Healing	Loot	Genji Necklace Coffer (IL 340)
Farlander Choker of Slaying	Instance	Hells' Lid	The Fractal Continuum (Hard)
Lakshmi's Necklace of Casting	Instance	Emanation (Extreme)
Lakshmi's Necklace of Aiming	Instance	Emanation (Extreme)
Genji Necklace of Fending	Loot	Genji Necklace Coffer (IL 340)
Lakshmi's Necklace of Healing	Instance	Emanation (Extreme)
Genji Necklace of Slaying	Loot	Genji Necklace Coffer (IL 340)
Lakshmi's Necklace of Fending	Instance	Emanation (Extreme)
Genji Necklace of Casting	Loot	Genji Necklace Coffer (IL 340)
Skallic Necklace of Fending	Instance	The Drowned City of Skalla
Skallic Necklace of Slaying	Instance	The Drowned City of Skalla
Bonewicca Necklace of Healing	Instance	The Swallow's Compass
Farlander Choker of Healing	Instance	Hells' Lid	The Fractal Continuum (Hard)
Heirloom Ring of Fending	Instance	Matoya's Relict
Heirloom Ring of Aiming	Instance	Matoya's Relict
Edengrace Ring of Slaying	Loot	Edengrace Ring Coffer (IL 470)
Edengrace Ring of Casting	Loot	Edengrace Ring Coffer (IL 470)
Edengrace Ring of Healing	Loot	Edengrace Ring Coffer (IL 470)
Heirloom Ring of Healing	Instance	Matoya's Relict
Shadowless Ring of Healing	Instance	The Heroes' Gauntlet
Shadowless Ring of Fending	Instance	The Heroes' Gauntlet
Anamnesis Ring of Slaying	Instance	Anamnesis Anyder
Heirloom Ring of Casting	Instance	Matoya's Relict
Edengrace Ring of Fending	Loot	Edengrace Ring Coffer (IL 470)
Shadowless Ring of Aiming	Instance	The Heroes' Gauntlet
Edengrace Ring of Aiming	Loot	Edengrace Ring Coffer (IL 470)
Shadowless Ring of Casting	Instance	The Heroes' Gauntlet
Anamnesis Ring of Fending	Instance	Anamnesis Anyder
Void Ark Breeches of Maiming	Instance	The Void Ark
Void Ark Skirt of Fending	Instance	The Void Ark
Void Ark Breeches of Casting	Instance	The Void Ark
Dravanian Trousers of Scouting	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Trousers of Striking	Instance	The Antitower	The Lost City of Amdapor (Hard)
Void Ark Breeches of Healing	Instance	The Void Ark
Dravanian Longkilt of Healing	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Longkilt of Maiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Trousers of Aiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Longkilt of Casting	Instance	The Antitower	The Lost City of Amdapor (Hard)
Void Ark Breeches of Scouting	Instance	The Void Ark
Dravanian Longkilt of Fending	Instance	The Antitower	The Lost City of Amdapor (Hard)
Farlander Gloves of Healing	Instance	Hells' Lid	The Fractal Continuum (Hard)
Farlander Gauntlets of Fending	Instance	Hells' Lid	The Fractal Continuum (Hard)
Farlander Gloves of Aiming	Instance	Hells' Lid	The Fractal Continuum (Hard)
Arhat Kote of Fending	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Farlander Gauntlets of Maiming	Instance	Hells' Lid	The Fractal Continuum (Hard)
Farlander Gloves of Casting	Instance	Hells' Lid	The Fractal Continuum (Hard)
Arhat Tekko of Aiming	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Skallic Armguards of Maiming	Instance	The Drowned City of Skalla
Skallic Armguards of Scouting	Instance	The Drowned City of Skalla
Arhat Tekko of Healing	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Arhat Tekko of Casting	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Arhat Tekko of Scouting	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Arhat Kote of Maiming	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Skallic Gloves of Aiming	Instance	The Drowned City of Skalla
Skallic Gloves of Striking	Instance	The Drowned City of Skalla
No.2 Type B Dress	Loot	No.2 Type B Materiel Storage Crate
Ishgardian Steel Ingot	Instance	The Stone Vigil
Allagan Wootz Nugget	Instance	The Binding Coil of Bahamut - Turn 1	The Binding Coil of Bahamut - Turn 2	The Binding Coil of Bahamut - Turn 4	The Binding Coil of Bahamut - Turn 5
Woad Skywarrior's Ring	Instance	Sohm Al
Sharlayan Custodian's Ring	Instance	The Great Gubal Library
Sharlayan Preceptor's Ring	Instance	The Great Gubal Library
Sharlayan Pankratiast's Ring	Instance	The Great Gubal Library
Halonic Priest's Ring	Instance	The Vault
Orthodox Ring of Casting	Instance	The Aery
Sharlayan Philosopher's Ring	Instance	The Great Gubal Library
Halonic Exorcist's Ring	Instance	The Vault
Woad Skydruid's Ring	Instance	Sohm Al
Orthodox Ring of Healing	Instance	The Aery
Orthodox Ring of Aiming	Instance	The Aery
Halonic Friar's Ring	Instance	The Vault
Woad Skyraider's Ring	Instance	Sohm Al
Sharlayan Conservator's Ring	Instance	The Great Gubal Library
Ishgardian Knight's Ring	Instance	The Dusk Vigil
Woad Skywicce's Ring	Instance	Sohm Al
Halonic Auditor's Ring	Instance	The Vault
Orthodox Ring of Slaying	Instance	The Aery
Halonic Inquisitor's Ring	Instance	The Vault
Dreadwyrm Ring of Fending	Instance	The Final Coil of Bahamut - Turn 1
Orthodox Ring of Fending	Instance	The Aery
Ishgardian Monastic's Ring	Instance	The Dusk Vigil
Ishgardian Chaplain's Ring	Instance	The Dusk Vigil
Ishgardian Outrider's Ring	Instance	The Dusk Vigil
Silent Scream Orchestrion Roll	Instance	Abyssos: The Fifth Circle
Embers Orchestrion Roll	Instance	Abyssos: The Eighth Circle
Troian Beauty (Endwalker) Orchestrion Roll	Instance	The Fell Court of Troia
The Map Unfolds Orchestrion Roll	Instance	Alzadaal's Legacy
FINAL FANTASY IV: Battle 2 (Endwalker) Orchestrion Roll	Instance	The Fell Court of Troia
In the Balance Orchestrion Roll	Instance	Aglaia
Aftermath Orchestrion Roll	Instance	Amdapor Keep (Hard)
White Stone Black Orchestrion Roll	Instance	Abyssos: The Eighth Circle (Savage)
Pilgrimage Orchestrion Roll	Instance	Aglaia
Like a Summer Rain Orchestrion Roll	Instance	Neverreap
Galago Mint	Drop	220b4388d1e	aabc1dd3fea
Honey	Drop	098a03016ba	b92542cf4e3	b91a24eff61	af11802524c	f734fb51059	13c4be209b5	1bd4fd183f3	5e091d3da43	1d945271523	8716692645d
Fleece	Drop	9aecaf9b03d	6f834da9db2
Worsted Yarn	Instance	The Drowned City of Skalla	Hells' Lid	The Fractal Continuum (Hard)	The Swallow's Compass	The Burn	Saint Mocianne's Arboretum (Hard)	The Ghimlyt Dark
Garlean Fiber	Drop	4cd62542708	df9a2446ab1	49b19e25639	8d7d79563e6	c588a6396e2	074f577970d	32973eb5181	bf4993e9790	ee1f179b11d	3772a15409c	e73dd29529b	77cb5772425	50ad837b71f	974e5289ec2	b79ca244c40	0220157f46f	910b1c58052	e429be62f25	2f006407cd7	324b1c84678	789e36d17da	a41789331d5	2d60bb2047e	1ef1c477ab9	47eb28dbd41	1a0fb4fcaf8	83abb8779a8	2454a0b5917	4f42b855c23	4b8f72cd88a	4bc163d6979	ae5c063fffa
Snurble Tufts	Drop	44cbeb95e3a	123dcdd25d8
Diremite Web	Drop	fb622d3ed90	1bcae4bf9cc	68fd1abaf71	58771d07dfa	ff76723eea3
Apkallu Down	Drop	4811b88bc9b
Battledance Materia X	Drop	0ff70ce47e0	0829011519a	eeaa8a6aef2	e20fd72e755	16814fc916f	1e9078dc403	7c091c01257	1dc09033d39	aa25f1888dd	5343e97f550	84ac47155b0	fef0ed9098d	0243b6e9162	fa8aaafe0a8	6666c1ae338	552bc855be4
Quicktongue Materia VII	Instance	Amaurot	The Twinning	Akadaemia Anyder	The Grand Cosmos	Anamnesis Anyder	The Heroes' Gauntlet	Matoya's Relict	Paglth'an
Quicktongue Materia VII	Drop	b4679c8b8e3	655526b5755	58f981f5720	65c798bf87a	376d1c2796f	57298cfc712	f68bdecb94a	f27f7b56500	c880cfca2ad	5e281e181bc	8dc2d28b49e	1665b6414dc	686f66e1780	a57dafa039d	c4eb5d26fd1	726ee58095d	1dd0d55d795	0c045db8b74	e5ea16d5d1c	07929b8f378	f329e4ae4cf	cfc217ecc5a	14684a23ffd	561f8d85d27	ba4e2264764	10eca15a99a	f88d78fb333	d670a4c2794	258a0bd9790	047ae559fcb	cb1fbdf375c	375add430e3	4b0f6601bd1
Piety Materia VII	Instance	Amaurot	The Twinning	Akadaemia Anyder	The Grand Cosmos	Anamnesis Anyder	The Heroes' Gauntlet	Matoya's Relict	Paglth'an
Piety Materia VII	Drop	b4679c8b8e3	655526b5755	58f981f5720	65c798bf87a	376d1c2796f	57298cfc712	f68bdecb94a	f27f7b56500	c880cfca2ad	5e281e181bc	8dc2d28b49e	1665b6414dc	686f66e1780	a57dafa039d	c4eb5d26fd1	726ee58095d	1dd0d55d795	0c045db8b74	e5ea16d5d1c	07929b8f378	f329e4ae4cf	cfc217ecc5a	14684a23ffd	561f8d85d27	ba4e2264764	10eca15a99a	f88d78fb333	d670a4c2794	258a0bd9790	047ae559fcb	cb1fbdf375c	375add430e3	4b0f6601bd1
Battledance Materia V	Instance	The Ghimlyt Dark
Battledance Materia V	Drop	20ded7e38dd	f8de31497bb	5a5e075ee1f	a338401e520	bb436fb2724	3ee2219573b	22177690931	8185a8ccc1f	c1ba38439f7	664cfea9f95	afbe1da058e	34ee00d5363	6d3ad608b39	a32e509a456	4088487ce1c	01cffdf3e7f	941902bc893	23b54f1c4dd	51c3e5749f6	7696dfef33d	86208077a2a	9707cb1bc85	9e289f728d9	fc62311ef07	208c5b350ca
Piety Materia IX	Instance	The Aitiascope	The Dead Ends	Smileton	The Stigma Dreamscape	Alzadaal's Legacy	The Fell Court of Troia	Lapis Manalis	The Aetherfont
Piety Materia IX	Drop	c03ba41c1b1	69c2699692f	4ec0d4dc0bc	58f1fa4a1cf	556cdc0e64c	9e8e21c7f90	0089b2487fc	fd497042490	0a9cc77988a	eb9c42d8431	a381c428036	f3b3f5bdc91	d2483f25b5e	9bc8eb5c5ad	09087a828ad	7b2314745ef	e8fdeaf8b5d	185dee0ef1f	ba6cea5286b	97954ece4e4	c6cc631b531	bc62a333758	ea1a9710dab
Piety Materia V	Instance	The Ghimlyt Dark
Piety Materia V	Drop	20ded7e38dd	f8de31497bb	5a5e075ee1f	a338401e520	bb436fb2724	3ee2219573b	22177690931	8185a8ccc1f	c1ba38439f7	664cfea9f95	afbe1da058e	34ee00d5363	6d3ad608b39	a32e509a456	4088487ce1c	01cffdf3e7f	941902bc893	23b54f1c4dd	51c3e5749f6	7696dfef33d	86208077a2a	9707cb1bc85	9e289f728d9	fc62311ef07	208c5b350ca
Battledance Materia VI	Instance	The Ghimlyt Dark
Battledance Materia VI	Drop	a584dd4333e	192731d3af5	f8a5d1e1e43	41ebadccc6f	b2b7a5f9d51	b06b57a87f1	3e0113994a1	28b52d5fc19	ad4b3c03696	dd31bf4ab62	86446bacbea	abebda698b5	3e94c5f8b34	1b7050ff8b7	fda0cb4aa71	278fa1192e9	a7b8f3da348	7b52302dee8	2491eb03c9f	7dddb71ae98	895d214a087	5c1bba38925	8f65ad5679b	508e7ed23b2	322c342096a	5a314fbe542	d269bda526f	d34c554c9d2	5bc4aa0ed7d	93bb6a373c8	578272caebd	b9a54fd140d
Quicktongue Materia X	Drop	0ff70ce47e0	0829011519a	eeaa8a6aef2	e20fd72e755	16814fc916f	1e9078dc403	7c091c01257	1dc09033d39	aa25f1888dd	5343e97f550	84ac47155b0	fef0ed9098d	0243b6e9162	fa8aaafe0a8	6666c1ae338	552bc855be4
Battledance Materia VIII	Drop	2785bfeb042	7cb9c891c00	cfb161e039e	5711d2eb06f	0413b8ecd91	b4e078dce63	03272b441d3	22f3cff530c	750b49fe800	e2856908efc	a11dd49a483	ce3aa68a55b	4ce3e9cd9c2	d186611ff65	0510b75f1c5	4c1450ca93d	3a04bd58bdb	67549d1e4e3	2b0e2d603b1	75c2f79e805	162c9992c0c	15f42316c2a	f383b73a3f0	170536d03dc	7c71e083ef5	d2366a7e128
Quicktongue Materia VIII	Drop	2785bfeb042	7cb9c891c00	cfb161e039e	5711d2eb06f	0413b8ecd91	b4e078dce63	03272b441d3	22f3cff530c	750b49fe800	e2856908efc	a11dd49a483	ce3aa68a55b	4ce3e9cd9c2	d186611ff65	0510b75f1c5	4c1450ca93d	3a04bd58bdb	67549d1e4e3	2b0e2d603b1	75c2f79e805	162c9992c0c	15f42316c2a	f383b73a3f0	170536d03dc	7c71e083ef5	d2366a7e128
Piety Materia VIII	Drop	2785bfeb042	7cb9c891c00	cfb161e039e	5711d2eb06f	0413b8ecd91	b4e078dce63	03272b441d3	22f3cff530c	750b49fe800	e2856908efc	a11dd49a483	ce3aa68a55b	4ce3e9cd9c2	d186611ff65	0510b75f1c5	4c1450ca93d	3a04bd58bdb	67549d1e4e3	2b0e2d603b1	75c2f79e805	162c9992c0c	15f42316c2a	f383b73a3f0	170536d03dc	7c71e083ef5	d2366a7e128
Piety Materia X	Drop	0ff70ce47e0	0829011519a	eeaa8a6aef2	e20fd72e755	16814fc916f	1e9078dc403	7c091c01257	1dc09033d39	aa25f1888dd	5343e97f550	84ac47155b0	fef0ed9098d	0243b6e9162	fa8aaafe0a8	6666c1ae338	552bc855be4
Battledance Materia IX	Instance	The Aitiascope	The Dead Ends	Smileton	The Stigma Dreamscape	Alzadaal's Legacy	The Fell Court of Troia	Lapis Manalis	The Aetherfont
Battledance Materia IX	Drop	c03ba41c1b1	69c2699692f	4ec0d4dc0bc	58f1fa4a1cf	556cdc0e64c	9e8e21c7f90	0089b2487fc	fd497042490	0a9cc77988a	eb9c42d8431	a381c428036	f3b3f5bdc91	d2483f25b5e	9bc8eb5c5ad	09087a828ad	7b2314745ef	e8fdeaf8b5d	185dee0ef1f	ba6cea5286b	97954ece4e4	c6cc631b531	bc62a333758	ea1a9710dab
Alliance Earring of Healing	Instance	The Ghimlyt Dark
YoRHa Type-53 Thighboots of Healing	Instance	The Puppets' Bunker
Heirloom Thighboots of Scouting	Instance	Matoya's Relict
Idealized Bhikku Boots	Loot	Idealized Foot Gear Coffer (IL 480)
Heirloom Shoes of Healing	Instance	Matoya's Relict
Idealized Arbatel Thighboots	Loot	Idealized Foot Gear Coffer (IL 480)
Idealized Bale Sollerets	Loot	Idealized Foot Gear Coffer (IL 480)
Dai-ryumyaku Earring of Fending	Loot	Dai-ryumyaku Accessories of Fending Coffer (IL 370)
Heirloom Shoes of Casting	Instance	Matoya's Relict
Idealized Wicce Shoes	Loot	Idealized Foot Gear Coffer (IL 480)
Idealized Beckoner's Crakows	Loot	Idealized Foot Gear Coffer (IL 480)
Dai-ryumyaku Earring of Aiming	Loot	Dai-ryumyaku Accessories of Aiming Coffer (IL 370)
Diamond Earring of Casting	Loot	Diamond Earring Coffer (IL 370)
Heirloom Greaves of Maiming	Instance	Matoya's Relict
Dai-ryumyaku Earring of Slaying	Loot	Dai-ryumyaku Accessories of Slaying Coffer (IL 370)
Idealized Boii Boots	Loot	Idealized Foot Gear Coffer (IL 480)
Royal Volunteer's Earrings of Casting	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Idealized Fili Shoes	Loot	Idealized Foot Gear Coffer (IL 480)
Heirloom Thighboots of Striking	Instance	Matoya's Relict
Idealized Soothsayer's Sandals	Loot	Idealized Foot Gear Coffer (IL 480)
Idealized Pteroslaver Greaves	Loot	Idealized Foot Gear Coffer (IL 480)
Diamond Earring of Healing	Loot	Diamond Earring Coffer (IL 370)
Diamond Earring of Fending	Loot	Diamond Earring Coffer (IL 370)
Diamond Earring of Slaying	Loot	Diamond Earring Coffer (IL 370)
Alliance Earring of Slaying	Instance	The Ghimlyt Dark
Dai-ryumyaku Earring of Healing	Loot	Dai-ryumyaku Accessories of Healing Coffer (IL 370)
Heirloom Thighboots of Aiming	Instance	Matoya's Relict
Heirloom Greaves of Fending	Instance	Matoya's Relict
Idealized Estoqueur's Thighboots	Loot	Idealized Foot Gear Coffer (IL 480)
Idealized Bodyguard's Thighboots	Loot	Idealized Foot Gear Coffer (IL 480)
Alliance Earring of Fending	Instance	The Ghimlyt Dark
Alliance Earring of Aiming	Instance	The Ghimlyt Dark
Idealized Ebers Thighboots	Loot	Idealized Foot Gear Coffer (IL 480)
Royal Volunteer's Earrings of Healing	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Alliance Earring of Casting	Instance	The Ghimlyt Dark
Royal Volunteer's Earrings of Aiming	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Qarn Cowl	Instance	The Sunken Temple of Qarn
Hat of the Red Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Infantry Shirt	Instance	Brayflox's Longstop
Tricorne of the Defiant Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Cavalry Cuirass	Instance	Brayflox's Longstop
Battlemage's Robe	Instance	Brayflox's Longstop
Hat of the Lost Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Manor Halfrobe	Instance	Haukke Manor
Qarn Jackcoat	Instance	The Sunken Temple of Qarn
Hat of the Ghost Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Manor Shirt	Instance	Haukke Manor
Manor Scale Mail	Instance	Haukke Manor
Plague Doctor's Mask	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Splendorous Hatchet	Loot	Splendorous Coffer
Skysteel Hatchet	Loot	Skysteel Prototype Coffer
Filibuster's Earring of Casting	Instance	Baelsar's Wall	Sohm Al (Hard)
Valkyrie's Earrings of Slaying	Instance	Xelphatol	The Great Gubal Library (Hard)
Augmented Primal Earrings of Casting	Loot	Primal Accessories of Casting Coffer (IL 240)
Valkyrie's Earrings of Aiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Augmented Primal Earrings of Slaying	Loot	Primal Accessories of Slaying Coffer (IL 240)
Midan Earrings of Healing	Instance	Alexander - The Fist of the Son (Savage)
Valkyrie's Earrings of Healing	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Earrings of Casting	Instance	Xelphatol	The Great Gubal Library (Hard)
Filibuster's Earring of Fending	Instance	Baelsar's Wall	Sohm Al (Hard)
Filibuster's Earring of Slaying	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Earrings of Slaying	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Earrings of Healing	Loot	Primal Accessories of Healing Coffer (IL 240)
Midan Earrings of Casting	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Earrings of Fending	Loot	Primal Accessories of Fending Coffer (IL 240)
Midan Earrings of Aiming	Instance	Alexander - The Fist of the Son (Savage)
Valkyrie's Earrings of Fending	Instance	Xelphatol	The Great Gubal Library (Hard)
Midan Earrings of Fending	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Earrings of Aiming	Loot	Primal Accessories of Aiming Coffer (IL 240)
Filibuster's Earring of Aiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Wyrm's Armet	Loot	Wyrm's Armor Coffer (IL 90)
The Guardian's Helm of Striking	Instance	Syrcus Tower
Warrior's Burgeonet	Loot	Warrior's Armor Coffer (IL 90)
Picaroon's Mask of Scouting	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Bogatyr's Blinder of Casting	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Allagan Visor of Maiming	Loot	Allagan Head Gear Coffer (IL 90)
Allagan Visor of Striking	Loot	Allagan Head Gear Coffer (IL 90)
Melee Circlet	Loot	Melee Attire Coffer (IL 90)
Summoner's Horn	Loot	Summoner's Attire Coffer (IL 90)
Cashmere Hat of Aiming	Loot	Junior Machinist's Armor Coffer (IL 90)
Allagan Circlet of Casting	Loot	Allagan Head Gear Coffer (IL 90)
Allagan Helm	Loot	Allagan Head Gear Coffer (IL 90)
Amon's Hat	Instance	Syrcus Tower
Bard's Chapeau	Loot	Bard's Attire Coffer (IL 90)
Argute Mortarboard	Loot	Argute Attire Coffer (IL 90)
Bogatyr's Circlet of Healing	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Scylla's Helm of Healing	Instance	Syrcus Tower
Picaroon's Eyepatch of Striking	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Cleric's Circlet	Loot	Cleric's Attire Coffer (IL 90)
Bogatyr's Cap of Aiming	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
Sorcerer's Petasos	Loot	Sorcerer's Attire Coffer (IL 90)
Heavy Wolfram Helm	Loot	Dark Knight's Armor Coffer (IL 90)
Allagan Visor of Aiming	Loot	Allagan Head Gear Coffer (IL 90)
Scylla's Helm of Casting	Instance	Syrcus Tower
Valor Coronet	Loot	Valor Armor Coffer (IL 90)
Koro Tsutsu-hakama	Loot	Koro Armor Coffer
Gunro Tsutsu-hakama	Loot	Gunro Armor Coffer
Hellhound Cuisses	Loot	Hellhound Attire Coffer
Grey Hound Cuisses	Loot	Grey Hound Armor Coffer
Shadowstalker's Breeches	Loot	Shadowstalker's Attire Coffer
Moddey Dhoo Cuisses	Loot	Moddey Dhoo Attire Coffer
Scion Traveler's Trousers	Loot	Scion Traveler's Attire Coffer
Appointed Slacks	Loot	Appointed Attire Coffer
False Monarchy Breeches	Loot	False Monarchy Attire Coffer
Barghest Cuisses	Loot	Barghest Attire Coffer
Shadowcleaver's Breeches	Loot	Shadowcleaver's Attire Coffer
Buffalo Sirloin	Drop	a9e94c3043f	d8d3bc1f79b	ec0770a6bf8
Jhammel Haunch	Instance	The Drowned City of Skalla	Hells' Lid	The Fractal Continuum (Hard)	The Swallow's Compass	The Burn	Saint Mocianne's Arboretum (Hard)	The Ghimlyt Dark
Jhammel Haunch	Drop	663603d5936
Cockatrice Thigh	Drop	c9cd0767a8a
Coeurl Meat	Drop	611bbba1aa6	e642789d6c6	1696bd60b3b	4cad8b84e5f
Yakow Chuck	Drop	2da55748175
Yak Milk	Drop	9f2deb55e3e
Hamsa Tenderloin	Drop	b6f95a66bea
Megalocrab Leg	Drop	0889910b459	82dba59e392	06293bf777b
Dzo Chuck	Instance	The Drowned City of Skalla	Hells' Lid	The Fractal Continuum (Hard)	The Swallow's Compass	The Burn	Saint Mocianne's Arboretum (Hard)	The Ghimlyt Dark
Dzo Chuck	Drop	af4b3f93284
Bird of Elpis Breast	Drop	c5c5ce6ba88
Night Milk	Drop	a9e94c3043f	d8d3bc1f79b	ec0770a6bf8
Okeanis Tail	Drop	cb881af0e39
Mutton Loin	Drop	2d37a0679a9
Dodo Tenderloin	Drop	d67a84f4bfb	4cd0389cf53	e5ff17a8247
Antelope Shank	Drop	ba3f82299ff	31b4254bc3c	086dd60645b
Eft Tail	Drop	f1d32dbc1a6	8714075439a	79d31fbf85a	abdecc0a63e	2afaaee2cda
Mole Meat	Drop	90e5ff084fb	7e1c82e0cb3	9d0359d1d04	a9b8baab8c4	f839508d0ab	fb0d2b6dbb8	ca915fda0f9
Ovim Meat	Drop	0912696020d	7684a294ed6
Marmot Meat	Drop	1adfb316681
Hornbill Tenderloin	Instance	The Drowned City of Skalla	Hells' Lid	The Fractal Continuum (Hard)	The Swallow's Compass	The Burn	Saint Mocianne's Arboretum (Hard)	The Ghimlyt Dark
Hornbill Tenderloin	Drop	c622848b80c	2f51aa97b48	3886e4050ae	56a44f0f6f2
Steppe Milk	Instance	The Drowned City of Skalla	Hells' Lid	The Fractal Continuum (Hard)	The Swallow's Compass	The Burn	Saint Mocianne's Arboretum (Hard)	The Ghimlyt Dark
Steppe Milk	Drop	af4b3f93284
Dhalmel Meat	Drop	99f2bacb51b
Loaghtan Chump	Drop	27de7da477f
Woad Skyhunter's Bangle	Instance	Sohm Al
Ishgardian Monastic's Bracelets	Instance	The Dusk Vigil
Sharlayan Pankratiast's Bangle	Instance	The Great Gubal Library
Orthodox Bracelet of Slaying	Instance	The Aery
Sharlayan Preceptor's Bangle	Instance	The Great Gubal Library
Woad Skydruid's Bangle	Instance	Sohm Al
Ishgardian Knight's Bracelets	Instance	The Dusk Vigil
Halonic Inquisitor's Bracelets	Instance	The Vault
Halonic Friar's Bracelets	Instance	The Vault
Halonic Auditor's Bracelets	Instance	The Vault
Orthodox Bracelet of Casting	Instance	The Aery
Woad Skywarrior's Bangle	Instance	Sohm Al
Sharlayan Custodian's Bangle	Instance	The Great Gubal Library
Woad Skyraider's Bangle	Instance	Sohm Al
Orthodox Bracelet of Healing	Instance	The Aery
Halonic Priest's Bracelets	Instance	The Vault
Sharlayan Conservator's Bangle	Instance	The Great Gubal Library
Sharlayan Philosopher's Bangle	Instance	The Great Gubal Library
Midan Poleyns of Aiming	Loot	Midan Leg Gear Coffer (IL 240)
Augmented Hailstorm Bottoms of Casting	Loot	Hailstorm Attire of Casting Coffer (IL 240)
Yafaemi Brais of Aiming	Instance	The Weeping City of Mhach
Valkyrie's Brais of Maiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Trousers of Aiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Brais of Fending	Instance	Xelphatol	The Great Gubal Library (Hard)
Valkyrie's Trousers of Scouting	Instance	Xelphatol	The Great Gubal Library (Hard)
Yafaemi Gaskins of Striking	Instance	The Weeping City of Mhach
Yafaemi Gaskins of Scouting	Instance	The Weeping City of Mhach
Midan Trousers of Healing	Loot	Midan Leg Gear Coffer (IL 240)
Yafaemi Chain Hose of Maiming	Instance	The Weeping City of Mhach
Midan Trousers of Casting	Loot	Midan Leg Gear Coffer (IL 240)
Yafaemi Trousers of Healing	Instance	The Weeping City of Mhach
Valkyrie's Trousers of Casting	Instance	Xelphatol	The Great Gubal Library (Hard)
Augmented Torrent Tights of Aiming	Loot	Torrent Attire of Aiming Coffer (IL 240)
Abyssos Bracelet Coffer (IL 630)	Instance	Abyssos: The Fifth Circle (Savage)
Abyssos Foot Gear Coffer (IL 630)	Instance	Abyssos: The Sixth Circle (Savage)	Abyssos: The Seventh Circle (Savage)
Abyssos Head Gear Coffer (IL 630)	Instance	Abyssos: The Sixth Circle (Savage)	Abyssos: The Seventh Circle (Savage)
Abyssos Earring Coffer (IL 630)	Instance	Abyssos: The Fifth Circle (Savage)
Abyssos Hand Gear Coffer (IL 630)	Instance	Abyssos: The Sixth Circle (Savage)	Abyssos: The Seventh Circle (Savage)
Abyssos Chest Gear Coffer (IL 630)	Instance	Abyssos: The Eighth Circle (Savage)
